match_id,game_duration,blue_top_champion,blue_jungle_champion,blue_mid_champion,blue_adc_champion,blue_support_champion,blue_num_tanks,blue_num_fighters,blue_num_mages,blue_num_marksmans,blue_num_controllers,red_top_champion,red_jungle_champion,red_mid_champion,red_adc_champion,red_support_champion,red_num_tanks,red_num_fighters,red_num_mages,red_num_marksmans,red_num_controllers,gold_diff_5,xp_diff_5,cs_diff_5,kills_diff_5,dragon_diff_5,herald_diff_5,tower_diff_5,wards_placed_diff_5,wards_killed_diff_5,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,dragon_diff_10,herald_diff_10,tower_diff_10,wards_placed_diff_10,wards_killed_diff_10,gold_diff_15,xp_diff_15,cs_diff_15,kills_diff_15,dragon_diff_15,herald_diff_15,tower_diff_15,wards_placed_diff_15,wards_killed_diff_15,gold_lead_gt_1500_10,kill_lead_gt_3_10,tower_lead_gt_1_10,double_objective_10,wards_lead_gt_5_10,first_blood_blue,first_tower_blue,first_dragon_blue,first_herald_blue,first_tower_time,first_dragon_time,first_herald_time,first_blood_time,blue_wins,processed_at
LA1_1712220382,26.766666666666666,Darius,Shaco,Pantheon,Jinx,Nami,0,3,0,1,1,Akali,Graves,Katarina,Twitch,Morgana,0,0,2,2,1,-511,-943,-9,-1,0,0,0,1,1,822,-885,-15,2,-1,0,0,4,-4,-1114,-2419,-23,-1,-2,0,0,7,-3,0,0,0,0,0,0,0,0,0,889.32,353.189,1185.041,139.19,0,
LA1_1712221052,15.533333333333333,Sett,Nocturne,Malzahar,Vayne,Nami,0,2,1,1,1,Irelia,Shaco,Ekko,Ashe,Lux,0,3,1,1,0,254,-160,10,0,0,0,0,-1,0,2401,1833,31,5,0,0,0,-2,-1,5897,6453,98,13,1,0,0,-1,1,1,1,0,0,0,0,1,1,0,898.948,816.669,,104.485,1,
LA1_1712221511,28.016666666666666,DrMundo,Kindred,Sylas,Yunara,Milio,1,0,2,1,1,Sett,Graves,Zed,Kaisa,Sona,0,2,0,2,1,253,-71,14,0,0,0,0,0,0,3085,1824,16,6,-1,0,0,9,1,3632,835,45,6,-2,0,1,10,4,1,1,0,0,1,1,1,0,0,765.811,398.063,1053.554,251.265,0,
LA1_1712224465,29.05,Ornn,Graves,Malzahar,Tristana,Mel,1,0,2,2,0,Camille,Kindred,Vladimir,Jhin,Nami,0,1,1,2,1,-751,81,-23,-1,0,0,0,-2,2,-2677,-2615,-80,-4,-1,0,0,-6,3,-3984,-3212,-78,-6,-1,0,-2,-8,2,0,0,0,0,0,0,0,0,0,797.688,524.456,1185.052,140.266,0,
LA1_1712225074,35.11666666666667,Urgot,Vi,Zed,Jhin,Ornn,1,3,0,1,0,Sett,Warwick,Syndra,Caitlyn,Brand,0,2,2,1,0,-1450,-768,-17,-3,0,0,0,-62,0,-2280,-1058,-29,-3,0,0,0,-294,0,-3178,-2487,-58,-4,-1,0,-1,-378,-3,0,0,0,0,0,0,0,0,1,768.826,591.331,936.638,128.968,0,
LA1_1712225730,40.93333333333333,Mordekaiser,Udyr,Veigar,Caitlyn,Ekko,0,3,1,1,0,TahmKench,Olaf,Diana,Jhin,Seraphine,1,2,0,1,1,-143,-224,-20,1,0,0,0,-3,0,570,533,-17,2,-1,0,0,-9,-1,-1612,670,-10,-1,-2,0,0,-17,-1,0,0,0,0,0,0,0,0,1,646.749,361.347,989.103,60.641,1,
LA1_1712225757,31.083333333333332,Shen,Graves,Vladimir,Kaisa,Thresh,1,0,1,2,1,Darius,Malphite,Yasuo,Varus,Morgana,1,2,0,1,1,-335,-418,-21,0,0,0,0,5,0,85,-1007,-45,4,1,0,0,12,2,1410,989,-53,6,2,0,0,36,2,0,1,0,0,1,1,0,1,1,824.673,355.873,981.183,108.732,1,
LA1_1712227616,42.46666666666667,Darius,Nocturne,Fizz,Jhin,Zyra,0,3,0,1,1,Pantheon,Kayn,Malzahar,Ashe,Morgana,0,2,1,1,1,-598,-87,-17,-1,0,0,0,26,0,-629,-2102,-65,1,-1,0,0,71,4,3954,1294,-40,9,0,0,0,118,7,0,0,0,0,1,0,1,0,1,878.859,455.096,956.797,104.49,1,
LA1_1712228229,27.0,Garen,Viego,Azir,KogMaw,Nautilus,1,2,1,1,0,Darius,Gragas,Yasuo,Aphelios,Taric,0,3,0,1,1,-908,-458,-21,-2,0,0,0,-2,1,-1756,-539,-26,-5,1,0,0,-7,2,-4772,-3500,-60,-10,0,0,0,-5,1,0,0,0,0,0,0,0,1,0,875.602,417.338,1038.224,176.479,0,
LA1_1712230667,36.166666666666664,Garen,Briar,Qiyana,Sivir,Zilean,0,3,0,1,1,Camille,DrMundo,Zed,Swain,Senna,1,2,1,1,0,1425,582,-9,4,0,0,0,-2,0,2174,1343,14,6,1,0,0,-4,0,1976,812,13,6,0,0,0,-5,1,1,1,0,0,0,1,0,1,0,885.007,396.043,974.537,164.328,0,
